Sample, clk, data
27841963, 0, 0
27841982, 0, 1
27842030, 1, 1
27842083, 0, 1
27842100, 0, 0
27842148, 1, 0
27842201, 0, 0
27842266, 1, 0
27842319, 0, 0
27842385, 1, 0
27842438, 0, 0
27842503, 1, 0
27842556, 0, 0
27842621, 1, 0
27842674, 0, 0
27842740, 1, 0
27842792, 0, 0
27842823, 0, 1
27842871, 1, 1
27842924, 0, 1
27842941, 0, 0
27842989, 1, 0
27843042, 0, 0
27843107, 1, 0
27843160, 0, 0
27843226, 1, 0
27843279, 0, 0
27843298, 0, 1
27843345, 1, 1
27843398, 0, 1
27843465, 1, 1
27843517, 0, 1
27843535, 0, 0
27843583, 1, 0
27843636, 0, 0
27843701, 1, 0
27843754, 0, 0
27843836, 1, 0
27843886, 1, 1
27843936, 0, 1
27843937, 0, 0
27843996, 1, 0
27844047, 0, 0
27844108, 1, 0
27844160, 0, 1
27844247, 1, 1
27844297, 1, 0
27844347, 0, 0
27844374, 0, 1
27844422, 1, 1
27844474, 0, 1
27844541, 1, 1
27844594, 0, 1
27844612, 0, 0
27844660, 1, 0
27844712, 0, 0
27844778, 1, 0
27844830, 0, 0
27844849, 0, 1
27844897, 1, 1
27844949, 0, 1
27845015, 1, 1
27845068, 0, 1
27845086, 0, 0
27845133, 1, 0
27845186, 0, 0
27845251, 1, 0
27845304, 0, 0
27845335, 0, 1
27845383, 1, 1
27845436, 0, 1
27845502, 1, 1
27845555, 0, 1
27845572, 0, 0
27845620, 1, 0
27845673, 0, 0
27845739, 1, 0
27845792, 0, 0
27845857, 1, 0
27845910, 0, 0
27845975, 1, 0
27846028, 0, 0
27846094, 1, 0
27846146, 0, 0
27846212, 1, 0
27846265, 0, 0
27846343, 1, 0
27846395, 0, 0
27846461, 1, 0
27846514, 0, 0
27846579, 1, 0
27846633, 0, 0
27846698, 1, 0
27846751, 0, 0
27846769, 0, 1
27846817, 1, 1
27846870, 0, 1
27846888, 0, 0
27846936, 1, 0
27846988, 0, 0
27847054, 1, 0
27847107, 0, 0
27847172, 1, 0
27847225, 0, 0
27847306, 1, 0
27847357, 1, 1
27847407, 0, 0
27847466, 1, 0
27847518, 0, 0
27847578, 1, 0
27847630, 0, 1
27847717, 1, 1
27847767, 1, 0
27847817, 0, 0
27847844, 0, 1
27847891, 1, 1
27847944, 0, 1
27847962, 0, 0
27848010, 1, 0
27848063, 0, 0
27848128, 1, 0
27848181, 0, 0
27848200, 0, 1
27848247, 1, 1
27848300, 0, 1
27848366, 1, 1
27848419, 0, 1
27848486, 1, 1
27848539, 0, 1
27848556, 0, 0
27848604, 1, 0
27848657, 0, 0
27848722, 1, 0
27848775, 0, 0
27848852, 1, 0
27848905, 0, 0
27848970, 1, 0
27849023, 0, 0
27849089, 1, 0
27849141, 0, 0
27849160, 0, 1
27849208, 1, 1
27849261, 0, 1
27849278, 0, 0
27849326, 1, 0
27849379, 0, 0
27849445, 1, 0
27849497, 0, 0
27849563, 1, 0
27849616, 0, 0
27849681, 1, 0
27849734, 0, 0
27849764, 0, 1
27849812, 1, 1
27849865, 0, 1
27849932, 1, 1
27849985, 0, 1
27850051, 1, 1
27850104, 0, 1
27850170, 1, 1
27850223, 0, 1
27850290, 1, 1
27850342, 0, 1
27850409, 1, 1
27850462, 0, 1
27850528, 1, 1
27850581, 0, 1
27850647, 1, 1
27850700, 0, 1
27850731, 0, 0
27850782, 1, 0
27850832, 1, 1
27850882, 0, 1
27850883, 0, 0
27850942, 1, 0
27850993, 0, 0
27851054, 1, 0
27851106, 0, 0
27851166, 1, 0
27851218, 0, 0
27851279, 1, 0
27851330, 0, 0
27851391, 1, 0
27851442, 0, 0
27851503, 1, 0
27851555, 0, 0
27851616, 1, 0
27851667, 0, 0
27851728, 1, 0
27851779, 0, 0
27851840, 1, 0
27851892, 0, 0
27851952, 1, 0
27852004, 0, 0
27852064, 1, 0
27852116, 0, 0
27852177, 1, 0
27852228, 0, 0
27852289, 1, 0
27852340, 0, 0
27852401, 1, 0
27852453, 0, 0
27852513, 1, 0
27852565, 0, 0
27852626, 1, 0
27852677, 0, 0
27852738, 1, 0
27852789, 0, 0
27852850, 1, 0
27852902, 0, 0
27852963, 1, 0
27853015, 0, 0
27853075, 1, 0
27853127, 0, 0
27853187, 1, 0
27853239, 0, 0
27853300, 1, 0
27853351, 0, 0
27853412, 1, 0
27853463, 0, 0
27853524, 1, 0
27853576, 0, 0
27853636, 1, 0
27853688, 0, 0
27853749, 1, 0
27853800, 0, 0
27853861, 1, 0
27853913, 0, 0
27853974, 1, 0
27854025, 0, 0
27854086, 1, 0
27854137, 0, 0
27854198, 1, 0
27854250, 0, 0
27854310, 1, 0
27854362, 0, 0
27854423, 1, 0
27854474, 0, 0
27854535, 1, 0
27854587, 0, 0
27854648, 1, 0
27854699, 0, 0
27854760, 1, 0
27854811, 0, 0
27854872, 1, 0
27854924, 0, 0
27854985, 1, 0
27855036, 0, 0
27855097, 1, 0
27855149, 0, 0
27855210, 1, 0
27855261, 0, 0
27855322, 1, 0
27855374, 0, 0
27855435, 1, 0
27855486, 0, 0
27855547, 1, 0
27855598, 0, 0
27855659, 1, 0
27855710, 0, 0
27855771, 1, 0
27855823, 0, 0
27855883, 1, 0
27855935, 0, 0
27855996, 1, 0
27856047, 0, 0
27856108, 1, 0
27856160, 0, 0
27856221, 1, 0
27856272, 0, 0
27856333, 1, 0
27856384, 0, 0
27856445, 1, 0
27856497, 0, 0
27856558, 1, 0
27856609, 0, 0
27856670, 1, 0
27856722, 0, 0
27856782, 1, 0
27856834, 0, 0
27856895, 1, 0
27856946, 0, 0
27857007, 1, 0
27857058, 0, 0
